# date: 2026-04-26 18:59:58
# freq_GHz: 5.800000
# Gmax_dBi: 13.7947
# Ptot_xz_W: 9.871152e-01
# Ptot_yz_W: 9.871152e-01
# columns: theta_deg	G_xz_dBi	G_yz_dBi
theta_deg	G_xz_dBi	G_yz_dBi
-180.00	-5.744800	-5.744800
-178.20	-6.588503	-5.800825
-176.40	-7.758417	-5.912682
-174.60	-9.230286	-6.076722
-172.80	-10.951444	-6.285950
-171.00	-12.807865	-6.529793
-169.20	-14.579208	-6.794077
-167.40	-15.935110	-7.061524
-165.60	-16.589080	-7.313121
-163.80	-16.539778	-7.530570
-162.00	-16.054020	-7.699546
-160.20	-15.439220	-7.812864
-158.40	-14.923209	-7.872318
-156.60	-14.656593	-7.888349
-154.80	-14.744129	-7.877703
-153.00	-15.272327	-7.860145
-151.20	-16.330570	-7.855424
-149.40	-18.019646	-7.881191
-147.60	-20.386014	-7.951948
-145.80	-22.920171	-8.078728
-144.00	-23.453323	-8.269126
-142.20	-21.461760	-8.527320
-140.40	-19.287791	-8.853822
-138.60	-17.763466	-9.244745
-136.80	-16.904014	-9.690388
-135.00	-16.627214	-10.173069
-133.20	-16.873620	-10.664473
-131.40	-17.612178	-11.123641
-129.60	-18.823572	-11.498153
-127.80	-20.449211	-11.731942
-126.00	-22.230262	-11.780665
-124.20	-23.411758	-11.628232
-122.40	-23.138891	-11.292824
-120.60	-21.791442	-10.817347
-118.80	-20.276653	-10.252172
-117.00	-18.996249	-9.641381
-115.20	-18.017655	-9.016917
-113.40	-17.309303	-8.398617
-111.60	-16.820916	-7.796757
-109.80	-16.503434	-7.214947
-108.00	-16.312454	-6.652546
-106.20	-16.207814	-6.106446
-104.40	-16.152682	-5.572354
-102.60	-16.113018	-5.045703
-100.80	-16.057590	-4.522296
-99.00	-15.958545	-3.998747
-97.20	-15.792415	-3.472751
-95.40	-15.541351	-2.943192
-93.60	-15.194268	-2.410114
-91.80	-14.747527	-1.874583
-90.00	-14.204856	-1.338465
-88.20	-13.576397	-0.804173
-86.40	-12.877086	-0.274407
-84.60	-12.124748	0.248084
-82.80	-11.338334	0.760694
-81.00	-10.536580	1.261113
-79.20	-9.737192	1.747432
-77.40	-8.956500	2.218217
-75.60	-8.209465	2.672552
-73.80	-7.509909	3.110054
-72.00	-6.870867	3.530883
-70.20	-6.305005	3.935731
-68.40	-5.825080	4.325793
-66.60	-5.444421	4.702727
-64.80	-5.177479	5.068593
-63.00	-5.040450	5.425759
-61.20	-5.052017	5.776791
-59.40	-5.234210	6.124300
-57.60	-5.613265	6.470784
-55.80	-6.219917	6.818444
-54.00	-7.087042	7.169011
-52.20	-8.237411	7.523606
-50.40	-9.638172	7.882631
-48.60	-11.065393	8.245737
-46.80	-11.900223	8.611843
-45.00	-11.485543	8.979232
-43.20	-10.120267	9.345680
-41.40	-8.591396	9.708631
-39.60	-7.334920	10.065363
-37.80	-6.500537	10.413153
-36.00	-6.154620	10.749417
-34.20	-6.380677	11.071814
-32.40	-7.350614	11.378325
-30.60	-9.461629	11.667296
-28.80	-13.735820	11.937456
-27.00	-18.384976	12.187913
-25.20	-10.375898	12.418145
-23.40	-4.532454	12.627960
-21.60	-0.533277	12.817470
-19.80	2.497864	12.987044
-18.00	4.922611	13.137266
-16.20	6.916868	13.268889
-14.40	8.577421	13.382788
-12.60	9.961931	13.479910
-10.80	11.106464	13.561232
-9.00	12.034129	13.627712
-7.20	12.759709	13.680247
-5.40	13.292284	13.719632
-3.60	13.636751	13.746529
-1.80	13.794669	13.761436
0.00	13.764664	13.764664
1.80	13.542489	13.756326
3.60	13.120754	13.736331
5.40	12.488284	13.704388
7.20	11.628959	13.660018
9.00	10.519722	13.602577
10.80	9.127103	13.531282
12.60	7.400909	13.445247
14.40	5.261834	13.343522
16.20	2.574583	13.225136
18.00	-0.919114	13.089143
19.80	-5.800504	12.934671
21.60	-13.511974	12.760968
23.40	-15.805434	12.567453
25.20	-10.015969	12.353759
27.00	-7.282058	12.119784
28.80	-6.124491	11.865728
30.60	-5.924639	11.592131
32.40	-6.453305	11.299901
34.20	-7.652527	10.990332
36.00	-9.595086	10.665104
37.80	-12.553988	10.326258
39.60	-17.361565	9.976153
41.40	-27.884503	9.617379
43.20	-24.062543	9.252650
45.00	-16.820903	8.884655
46.80	-13.323125	8.515889
48.60	-11.216821	8.148481
50.40	-9.855184	7.784024
52.20	-8.964872	7.423443
54.00	-8.401483	7.066913
55.80	-8.076909	6.713844
