# date: 2026-04-25 11:27:14
# freq_GHz: 5.800000
# Dmax_dBi: 13.8586
# Prad_W: 8.161768e-26
# patch_number: 5
# feed_length_mm: 14.5
# feed_width_mm: 3.9
# feed_R_ohm: 50
# patch_widths_mm: [13.4, 20.2, 23.4, 20.2, 13.4]
# patch_lengths_mm: [15.1, 14.5, 14.4, 14.5, 15.1]
# substrate_epsR: 2.95
# substrate_thickness_mm: 1.524
# phi_cuts_deg: [0, 90]
# columns: theta_deg	D_phi0_dBi	D_phi90_dBi
theta_deg	D_phi0_dBi	D_phi90_dBi
-180.00	-12.367213	-12.367214
-178.00	-12.377898	-12.615892
-176.00	-12.353919	-12.963527
-174.00	-12.296093	-13.446535
-172.00	-12.206851	-14.144694
-170.00	-12.089845	-15.166135
-168.00	-11.949694	-16.642290
-166.00	-11.791487	-18.747116
-164.00	-11.620456	-21.762828
-162.00	-11.441577	-26.285185
-160.00	-11.259350	-33.995249
-158.00	-11.077659	-38.412983
-156.00	-10.899612	-31.823558
-154.00	-10.727618	-29.333324
-152.00	-10.563244	-28.753814
-150.00	-10.407354	-28.980091
-148.00	-10.260087	-28.798125
-146.00	-10.120880	-27.378145
-144.00	-9.988542	-25.359403
-142.00	-9.861266	-23.550659
-140.00	-9.736672	-22.211368
-138.00	-9.611869	-21.345667
-136.00	-9.483514	-20.894653
-134.00	-9.347932	-20.789245
-132.00	-9.201228	-20.957809
-130.00	-9.039458	-21.321926
-128.00	-8.858807	-21.790800
-126.00	-8.655806	-22.261103
-124.00	-8.427522	-22.628844
-122.00	-8.171755	-22.814003
-120.00	-7.887136	-22.783225
-118.00	-7.573221	-22.551109
-116.00	-7.230449	-22.159515
-114.00	-6.860053	-21.654345
-112.00	-6.463940	-21.073598
-110.00	-6.044496	-20.445728
-108.00	-5.604391	-19.791837
-106.00	-5.146431	-19.127822
-104.00	-4.673405	-18.465522
-102.00	-4.187963	-17.813134
-100.00	-3.692552	-17.175704
-98.00	-3.189384	-16.555653
-96.00	-2.680413	-15.953550
-94.00	-2.167324	-15.368874
-92.00	-1.651581	-14.800798
-90.00	-1.134435	-14.248790
-88.00	-0.616949	-13.713111
-86.00	-0.100046	-13.195082
-84.00	0.415474	-12.697246
-82.00	0.928912	-12.223322
-80.00	1.439633	-11.778082
-78.00	1.947058	-11.367107
-76.00	2.450644	-10.996499
-74.00	2.949871	-10.672528
-72.00	3.444232	-10.401278
-70.00	3.933225	-10.188242
-68.00	4.416352	-10.037983
-66.00	4.893107	-9.953893
-64.00	5.362989	-9.938215
-62.00	5.825478	-9.992635
-60.00	6.280056	-10.119723
-58.00	6.726204	-10.325710
-56.00	7.163391	-10.624596
-54.00	7.591088	-11.043435
-52.00	8.008768	-11.627732
-50.00	8.415901	-12.444553
-48.00	8.811963	-13.574450
-46.00	9.196435	-15.048758
-44.00	9.568807	-16.552805
-42.00	9.928578	-16.804615
-40.00	10.275254	-14.889466
-38.00	10.608357	-12.193861
-36.00	10.927427	-9.828197
-34.00	11.232012	-8.061895
-32.00	11.521684	-6.948318
-30.00	11.796026	-6.561102
-28.00	12.054649	-7.097909
-26.00	12.297181	-9.086829
-24.00	12.523266	-14.286500
-22.00	12.732580	-17.825835
-20.00	12.924814	-7.096296
-18.00	13.099689	-1.244099
-16.00	13.256950	2.727001
-14.00	13.396363	5.700673
-12.00	13.517721	8.017472
-10.00	13.620847	9.843034
-8.00	13.705588	11.269845
-6.00	13.771817	12.354238
-4.00	13.819438	13.132465
-2.00	13.848375	13.628576
0.00	13.858585	13.858585
2.00	13.850054	13.832781
4.00	13.822794	13.556953
6.00	13.776838	13.032920
8.00	13.712256	12.258422
10.00	13.629143	11.226351
12.00	13.527616	9.923034
14.00	13.407828	8.325053
16.00	13.269947	6.393550
18.00	13.114174	4.064230
20.00	12.940740	1.230603
22.00	12.749893	-2.273847
24.00	12.541908	-6.579009
26.00	12.317088	-10.534847
28.00	12.075755	-10.254467
30.00	11.818251	-8.011011
32.00	11.544950	-6.463056
34.00	11.256237	-5.738860
36.00	10.952517	-5.690088
38.00	10.634221	-6.232981
40.00	10.301790	-7.353419
42.00	9.955684	-9.091326
44.00	9.596378	-11.487362
46.00	9.224356	-14.228879
48.00	8.840120	-15.463367
50.00	8.444177	-13.753861
52.00	8.037044	-11.324495
54.00	7.619241	-9.370469
56.00	7.191297	-7.964131
58.00	6.753742	-7.000829
60.00	6.307102	-6.385229
62.00	5.851909	-6.046913
64.00	5.388682	-5.934331
66.00	4.917946	-6.008572
68.00	4.440216	-6.239015
70.00	3.955998	-6.600498
72.00	3.465799	-7.071396
74.00	2.970120	-7.632298
76.00	2.469459	-8.265077
78.00	1.964319	-8.952188
80.00	1.455219	-9.676154
82.00	0.942685	-10.419342
84.00	0.427283	-11.163867
86.00	-0.090375	-11.891854
88.00	-0.609615	-12.586009
90.00	-1.129683	-13.230451
92.00	-1.649700	-13.811816
94.00	-2.168659	-14.320457
96.00	-2.685382	-14.751518
98.00	-3.198476	-15.105812
100.00	-3.706334	-15.390320
102.00	-4.207077	-15.618216
104.00	-4.698558	-15.808557
106.00	-5.178372	-15.985609
108.00	-5.643872	-16.177972
110.00	-6.092210	-16.417806
112.00	-6.520479	-16.740084
114.00	-6.925786	-17.182009
116.00	-7.305448	-17.781888
118.00	-7.657174	-18.575693
120.00	-7.979269	-19.586182
122.00	-8.270771	-20.790884
124.00	-8.531599	-22.043669
126.00	-8.762615	-22.966405
128.00	-8.965587	-23.081354
130.00	-9.143088	-22.378097
132.00	-9.298382	-21.366001
134.00	-9.435131	-20.504367
136.00	-9.557327	-20.022622
138.00	-9.668958	-20.024859
140.00	-9.773932	-20.570715
142.00	-9.875867	-21.676323
144.00	-9.978035	-23.160788
146.00	-10.083278	-24.181915
148.00	-10.193926	-23.495454
150.00	-10.311816	-21.611470
152.00	-10.438217	-19.793245
154.00	-10.573852	-18.503324
156.00	-10.718832	-17.779131
158.00	-10.872673	-17.527239
160.00	-11.034217	-17.553795
162.00	-11.201654	-17.528672
164.00	-11.372464	-17.086334
166.00	-11.543412	-16.143104
168.00	-11.710592	-14.970671
170.00	-11.869529	-13.882443
172.00	-12.015243	-13.047532
